claim_id,claim,status,verification_scope,principal_evidence,required_language,required_action,revision
JUDGE-002,Judge non-determinism at temperature 0 is universal; metric fragility is metric-dependent,established,full-run-with-replicates,"87-96% of judgments differ in raw text across replicates; score impact 0.2-0.7% (near-binary label) vs 43-46% (1-10 rubric); run-level means stable","State the mechanism (server-side batching), and that Request.random was verified cache-key-only for these clients",Report per-metric; do not generalize the cache-key verification to seed-mapping clients,2026-07-27 (new)
JUDGE-003,Open-weight judges recover published conclusions of model-graded benchmarks,preliminary,single-candidate-full-run,"XSTest kappa 0.936/0.928 vs official GPT-4o, exceeding the official pair's own 0.829; WildBench aggregate reproduces with a ~0.8 offset",Do not state as a conclusion-survival result; every endpoint of interest is defined over a SET of candidates,Expand candidates (zero candidate inference required); fix WildBench truncation before publishing those numbers,2026-07-27 (new)
JUDGE-004,Open-vs-official judge agreement figures are contamination-free,not-established,timeline-analysis,"Qwen3.5 launched 2026-02-16; benchmarks predate by 2-4 years; HELM Safety v1.14.0 / Capabilities v1.12.0 publication dates NOT established",Call every agreement figure an UPPER BOUND; name distribution shift rather than memorization as the mechanism,Rejudge a candidate released after the judge cutoff; establish the HELM suite publication dates,2026-07-27 (new)
JUDGE-005,Parse rate predicts judge usability,false,size-sweep,"Qwen3.5-2B posts 99.9% parse with 25.7% agreement on anthropic_red_team, inverting official labels",Always report parse rate and calibration as separate axes; note safety sets are ~99% one-class,None,2026-07-27 (new)
CORPUS-001,Roughly 59 percent of corpus is classic-track,internal-estimate,journal/post-archive-doc-reference,Internal planning figure; no packaged denominator script,Do not use as publication statistic yet,Regenerate from frozen manifest with numerator and denominator,2026-07-15c (unchanged)
CENSUS-001,A representative fraction of runnable HELM runs reproduces exactly or with a named cause,not-started,prospective-design-only,"Design specified in docs/planning/edward-task-queue.md Task C: stratified sample, frozen diagnostic ladder, pre-defined outcome buckets, stopping rule",Do not state any prevalence claim until the design is frozen and the first stratum is bucketed,Freeze the spec before looking at outcomes; run the first stratum,2026-07-27 (new)
SYS-001,Exact public run_spec replay is implemented,established,packaged-code-and-history,From-spec implementation and BBQ prompt-drift case,Can claim capability and demonstrated recipe correction,Package a minimal executable example,2026-07-15c
SYS-002,EvalAudit guarantees reproducible benchmark runs,unsupported,scope-warning,Several deployment and hardware variables remain unresolved,"Say supports replay, preservation, comparison, and diagnosis",Validate with fault injection and overhead measures before stronger claim,2026-07-15c
SYS-003,A net-new model can be registered without modifying HELM,implemented,gpu-validated,"Registry-sidecar passthrough proven end to end for Qwen3.5-9B-Base: one preset block, two sidecar YAMLs, one catalog endpoint",Say no HELM edit and no image rebuild; note the earlier vendored-HELM edit was reverted,None,2026-07-27 (new)
SYS-004,Our own compute runs follow the freeze-the-spec discipline we recommend,false-currently,self-audit,"Compute presets store a mutable HELM run-key DSL string as the source of truth and expand at execution time",State the asymmetry explicitly; the rule is expand once at authoring then freeze,Implement docs/planning/compute-run-spec-freeze-plan.md; resolve whether HELM exposes key->RunSpec expansion without inference,2026-07-27 (new)
CLASSIC-001,Later v0.2.4/v0.3.0 containers are the original classic instrument,false,packaged-source-history,Original inferred source interval is unreleased; later images are proxies,Always call them declared proxy instruments,Preserve compatibility shims and provenance,2026-07-15c
GPTOSS-001,GPT-OSS drift is roughly 30x tighter than OLMo IFEval pilot,preliminary-numeric-comparison,reported-summary,Approx 4.8e-4 vs 1.0e-2 to 1.6e-2 squared error,"Say approximately 25-35x, not two orders of magnitude",Regenerate both accepted result sets before headline use,2026-07-15c
REPRO-001,"Artifact reconstruction, procedural reproduction, and claim-level robustness are distinct targets",established-framework,methodological-synthesis-plus-executed-instance,"Historical artifacts and rerun evidence require different success criteria; the closed-judge case makes artifact reconstruction the ONLY available target for some runs",State target level for every experiment; state that the eligibility gate is target-relative,Add target field to experiment manifest,2026-07-27 (sharpened)
CONCL-001,Drift magnitude predicts conclusion damage,false,zero-compute-analysis,"4/25 OLMo pairs flip official-vs-local (gpqa 3/6, bbq 1/6) while ifeval carries the largest drift and flips none; Qwen 1/201",State that procedural drift already flips conclusions and that magnitude is not a proxy for damage,Paired bootstrap to decide which flips are statistically real (gpqa official gaps ~1.3 sigma),2026-07-27 (new)
PAPER-002,A hybrid position/systems paper is viable now,ready,synthesis-supported,"Framework, system, case evidence, and provenance recommendations exist; one fully attributed substrate cell now anchors it",Keep empirical claims scoped,Complete manuscript and artifact,2026-07-27 (strengthened)
PAPER-003,A broad empirical paper is ready,not-ready,gap-analysis,"No frozen denominator; census unstarted; judge study single-candidate; artifacts unpreserved",Do not claim population prevalence,Complete the census and the candidate expansion,2026-07-15c (unchanged)
PAPER-004,The paper spine (reproduction-first vs judge-substitution) is decided,open,planning-only,"Three adversarial rounds recorded in docs/planning/tmlr-paper-thesis.md; gated on decisions D1-D5 (program scope, EEE boundary, staffing)",Do not present either thread as settled spine in external material,Resolve D1-D3 before the manuscript structure is locked,2026-07-27 (new)
QWEN-001,Qwen small-model comparison should be central now,deferred/optional,scope-decision,No completed store and limited time,Use only as bounded demonstration after core evidence,Defer broad grid and LoRA work,2026-07-15c
QWEN-002,Qwen3.5 extension results exist,false-currently,run-state,"Smoke passed (mmlu:anatomy 1.0; boolq 0.0 -> 0.8 under the declared newline-tolerant substitution); corrected 72-entry core grid authored; no report produced",Treat as mechanism-proven and results-pending,Run the core grid and produce the local-only report,2026-07-27 (new)
PRESERVE-001,The result stores behind the headline claims are preservable as they stand,false,disk-level-audit,"2026-07-15d audit: gpt-oss-20b-from-spec and olmo-models-combined retain no raw run artifacts (pruned); era-redpajama and the deployment-match sweeps are present; the 2026-07-21..23 substrate artifacts are new and unpreserved","Say report freshness is not run-artifact freshness; the freshest reports sit on the least-preserved inputs",RE-RUN the two pruned stores; COPY+HASH the rest; bundle the new substrate and rejudge artifacts,2026-07-27 (new)
