date,hash,subject,insertions,deletions,files_changed
2026-06-11T15:23:48-04:00,9a3778386f2a75fa5188850c389e7c5bc132e0d3,Phase 2: split filter_analysis into tables / text / charts / io modules,1313,1206,5
2026-06-11T15:26:52-04:00,c201938fb2be24b6f3b5823fa32bb6c33e8e82e9,Phase 2: split eee_only_heatmap into data / render modules,1243,1173,3
2026-06-11T15:28:53-04:00,9fcdfefe46b618fbdec7b2abe68ed9bb51eb4598,Phase 2: split helm/analysis into instance_stats / analysis_report,1075,1028,3
2026-06-11T15:30:14-04:00,3822d676024f310b9a9bd5d6174b1e60909d4f22,Mark Phase 2 secondary targets done in plan; journal entry,91,6,2
2026-06-11T15:44:07-04:00,5b05562ffd0e7101c06b57b2cc47cdb79cfd49cb,Add Phase 3 design docs (comparison-core unification + equivalence matrix),522,27,3
2026-06-12T09:03:55-04:00,76a320c3ea52c1e6f22b2d55ddfcf3ddedd20bb3,Revise Phase 3 design docs for the new research program,389,261,3
2026-06-12T09:04:45-04:00,352d55d0eba0ab99dcf7e6cf7a84a0081022845e,Journal: Phase 3 design + research-program revision,73,0,1
2026-06-12T09:10:35-04:00,94c7fb49bce4993dbaa6def3b72f05c2674b6cd0,"Phase 3 / 4.0: lift metric taxonomy out of helm/, add judge-dependence class",283,115,4
2026-06-12T09:15:09-04:00,4a36e6d4829fcff06467cffba2c6c810637755fa,Phase 3 / 4.1: recipe_facts accessor + judge-identity fields,453,1,3
2026-06-12T09:18:48-04:00,1836be3e5172e9ca5ecf19de5152e06af6e7f3ad,Phase 3 / 4.2: normalized/diagnose.py -- framework-free diagnosis port,559,0,2
2026-06-12T09:23:26-04:00,6656048b209ac541a84c0dcddd73a26caddbc064,Phase 3: behavior baseline capture harness + committed F3/F4 snapshots,1919,0,5
2026-06-12T09:28:32-04:00,426a211a7e5b8ad4c58af0d430405432c086f9b2,Phase 3 / 4.4: EEE synthesis library home + zero-HELM EEE entry points,507,436,11
2026-06-12T09:29:18-04:00,12623aa5ccc85061be21336c23407def474f2ab4,"Journal: Phase 3 implementation session (4.0-4.2, baseline, 4.4)",75,0,1
2026-06-12T09:43:39-04:00,a347eca07121bbca673a4f7d7f89541df96137f6,Phase 3 / 4.3: NormalizedDiff -- the unified comparison core (additive),616,102,3
2026-06-12T09:46:04-04:00,cc6c9e8b41fd4be7c6e0f1d1564dbad022b61a89,Phase 3: judge-identity inventory across the closed-judge benchmarks,86,0,1
2026-06-12T09:46:29-04:00,dfe2c941d3888e7a96b25cc8ba88545ac0adad75,Journal: Phase 3 continuation (4.3 + judge inventory),62,0,1
2026-06-12T09:53:37-04:00,5c8f7a48fcffdb6c7a7909b705fa74e8bebf386a,Phase 3 / 4.6: route the renderer through NormalizedDiff; single diagnosis impl,59,271,3
2026-06-12T09:59:26-04:00,9e40aa92ea2bd7ed1da88068451c0adef7bff479,Phase 3 / 4.5 (loader half): declared instance-source policy + F6 probe,206,22,2
2026-06-12T10:05:09-04:00,e5f905c78e9df37b1f033eff4277a25e405ceaca,Phase 3 / 4.5 (renderer half): --instance-source flag + recorded provenance,75,0,6
2026-06-12T10:06:01-04:00,0299ed0356f5a581955d84fde45d45a1f90ae3e4,Journal + design-doc status: Phase 3 sub-stages 4.0-4.6 complete,75,0,2
2026-06-12T10:11:18-04:00,3ef5233e53c515306788d35d9434e5aed65b4aa2,Phase 3 / 4.9a: curated judge registry + identity resolution,166,3,3
2026-06-12T10:17:53-04:00,900ab05c38226fe0d99da7f116de0698c8dd123b,Phase 3 / 4.9b+c: declared judge substitutions through planner + renderer,363,18,5
2026-06-12T10:22:55-04:00,5b34364fa27a3eaa94048d03420ca18d8bfda483,Phase 3 / 4.9d: Stage-1 --allow-closed-judge-benchmarks relax,147,13,3
2026-06-12T10:23:45-04:00,ca83c051f770c1d1ac2f616dc2f7a2672dd6a32d,Phase 3 / 4.7: draft the upstream EEE recipe_facts issue,89,0,1
2026-06-12T10:28:22-04:00,f099bb2a2df0f77f49c5f27bad24488402c2dd1e,Phase 3 / 4.8: docs pass + legacy-bridge marking + final status,100,27,5
2026-06-12T10:28:54-04:00,ac3445eeb42686cebf64a91ee935db31f9a8021a,Journal: Phase 3 completed (4.9 + 4.7 draft + 4.8),69,0,1
2026-06-12T13:05:28-04:00,aaa2c9287e6c410303988b66241fad16307c2833,Fix infer_stack adapter: drop removed root= kwarg from load_profile_contract,6,1,1
2026-06-12T13:12:41-04:00,bcb0e16f60adcc7f4d73cb117c4f5a9bf253a3ad,"Add OLMo reproduction smoke suite: adapter presets, run scripts, and virtual experiment config",1385,0,14
2026-06-12T13:52:30-04:00,ec4960aa2ce1c0fd73c3322dd74e1c189a9642ea,Update deprecated hf auth call,1,1,1
2026-06-12T13:55:15-04:00,92f9582a11ac046ee7db9ccd2f907d6671c6764f,Switch profiles without prompting,1,1,1
2026-06-12T15:23:08-04:00,31961a849464031c959d96f5279ae6c56f2404bd,Fix OLMo tokenizer aliases to match HELM registry,3,3,1
2026-06-12T16:04:45-04:00,517cbbf5cd88b9216aa9db7dc946fcc5b3af5da6,Add sentencepiece/tiktoken tokenizer backends as deps,6,0,1
2026-06-12T17:09:59-04:00,2aea115d4a4f441931e46823e5aaf0ae13cdc450,Fix olmo-7b tokenizer load via a HELM entry-point plugin,58,6,2
2026-06-15T08:48:31-04:00,f85b18170d08aab0b8201916a282cf8071e9243a,Add OLMO_FORCE_RERUN to re-run OLMo smoke grid over prior results,25,1,2
2026-06-15T09:17:00-04:00,386986536a217f9842e47efc31b385228b8b1d9a,Add OLMo full-run grid; rename runbook to olmo_models; group on full runs,226,57,13
2026-06-15T11:49:22-04:00,dd6575b6da5c20e9a914ae28df9e1cad28abc5bd,Add updated config to work on aiq-gpu,82,12,1
2026-06-15T12:46:01-04:00,bef5ccc01521d2c7cf30f94286d3d9042f144692,"Restrict to gpus 2,3",5,0,1
2026-06-16T09:00:24-04:00,5c0490c9d2289747425efc7358db20ecc5f1063b,Reserve chat-template headroom for OLMo openai-compatible runs,98,0,2
2026-06-16T09:55:58-04:00,8cb5eb7566bc99948c442fd1ca39f6753049e459,Stage natural_qa data via gcloud auth + helm-run shim (script-only),363,0,6
2026-06-16T09:57:41-04:00,01a6888018fbf720d6d2cbe12da6bbd368b3d84d,Drop OLMo math runs (competition_math disabled on HF Hub),14,7,1
2026-06-16T10:13:11-04:00,ddc4040736b8b644206ec7630badc4d8a28d4907,Drop OLMo natural_qa runs (GCS bucket denies authenticated reads),40,364,7
2026-06-16T10:30:10-04:00,4354ef6845e63afe42241e878f30959a9630a111,Default OLMo smoke grid to force-rerun; keep full grid opt-in,10,5,2
2026-06-16T13:04:13-04:00,5d02e12b79c37ab49ff1cf0f54447d7694d69f72,Add containerized HELM execution path for the kwdagger pipeline,1484,7,17
2026-06-16T15:59:26-04:00,7b028102c9ccf818f622ed60e59c90a9bd117e4f,Restructure phi-2 e2e tests into the olmo_models runbook shape,746,121,17
2026-06-17T09:36:02-04:00,4d5c411e073c204d25585aaa7df54e40c9a0ed7e,"Add containerized phi-2 e2e example (vLLM served on host, HELM via --network host)",327,11,10
2026-06-17T11:12:01-04:00,63f8c8cd1896a6ce33b2654e4a04b754d802de49,Enable public comparisons for the olmo full virtual experiment,5,5,1
2026-06-17T14:32:12-04:00,0d4a41836e7fe91c51ecb2c4c6968a12d1157e78,docs(planner): add robust order-insensitive matching plan,200,0,1
2026-06-17T14:33:35-04:00,b7373676628c06fdea5d8e87791ca11e4b8226e6,feat(run_entries): add order-insensitive canonical_logical_key,147,0,2
2026-06-17T14:37:38-04:00,a25aac93b22fb2c06f8441a107076fb4ade3a11b,feat(planner): group runs by order-insensitive canonical key,252,100,2
2026-06-17T14:38:56-04:00,d8e6b698a755a31a43958ae932f27f4b36cc2e37,docs(planner): document canonical-key matching + journal entry,91,0,2
2026-06-17T15:02:50-04:00,ceefb4603b33e3c624af7e64087ac9717b9a6cd8,Merge branch 'main' into olmo-reproduction,0,0,0
2026-06-17T15:52:39-04:00,36b7860abb8ab72acd69387ff696a716da0b9d18,Merge branch 'olmo-reproduction' into main,0,0,0
2026-06-17T15:59:11-04:00,f46445d9c7474ea0602ccdaabd7f6e6281ed8b0c,Merge branch 'main' into e2e-refactor,0,0,0
2026-06-18T09:26:38-04:00,f23bf6963a967a1e65a6eb68beae6bc31fe3f486,Run the phi-2 container e2e example by default (opt-out),73,28,4
2026-06-18T10:04:17-04:00,0e8617a7be8a955055e2e214e93073a85b838bf7,Fix dangling venv python in the HELM-runner image (multi-stage uv),59,1,2
2026-06-18T10:32:06-04:00,fa37fd6ce4ef1b3d921a39ba3226b56048dbfe0f,Run HF e2e scenario first on a freed GPU; spin vLLM down at grid start,59,7,5
2026-06-18T11:17:40-04:00,1cb228a55d505acead60dec27504999ba8e6e0f0,Enable public comparison in the non-smoke e2e experiments,67,26,3
2026-06-18T12:06:08-04:00,de439c56b58315a09153cbf24fe5971cc50b40d5,Split the e2e-phi2 report into one virtual experiment per scenario,282,170,11
2026-06-18T12:18:06-04:00,89695fe60aade1743de6831bb8096d18af29a23a,Force matplotlib Agg backend in report rendering (fix Tk core dump),68,0,6
2026-06-18T12:47:38-04:00,55fb5ecfd08edf9de2f2d1bb05aaa57b7a7f248a,Merge branch 'e2e-refactor' into main,0,0,0
2026-06-18T13:33:54-04:00,cc57d5d71d711e8f5e17c3a83f56af95ab93561b,Run OLMo reproduction through the containerized HELM pipeline,430,4,8
2026-06-18T14:25:31-04:00,c8b3d5257fe91459f1535d349171ed2a8106b10f,Align OLMo BBQ run entries with public recipe (output_format_instructions),391,7,4
2026-06-22T16:58:27-04:00,10c3db97aef0cd0a638cb82c26c10c07359ca86b,Migrate infer_stack integration to the catalog/leasing API,387,286,5
2026-06-22T17:01:50-04:00,f779d59671f6f4ea1a77856821dbad8a35ca35af,Reschema the e2e + OLMo infer-stack config dirs to catalog.yaml,169,548,8
2026-06-22T17:08:06-04:00,f4236d61e1984e461a518b15ddd187339dcb59d8,Migrate the e2e + OLMo runner scripts to the leasing CLI verbs,167,108,8
2026-06-22T17:11:15-04:00,e8e76818fd3ac86073c4981f9a658a0c14352d8a,Update the e2e + OLMo runbook docs for the leasing CLI,73,52,3
2026-06-22T17:13:09-04:00,ab8af6c8fc2f033ed8efd3bad575194248c00a7d,journal: infer-stack CLI/API migration session,73,0,1
2026-06-23T09:55:43-04:00,4afe6a66a0df36abd5e9eeeffc6805c20720d443,Merge branch 'olmo-docker-pipeline' into main,0,0,0
2026-06-23T10:03:29-04:00,22395e215075b141e0e0668f613c7efa085da57d,Merge branch 'main' into infer-stack-cli-api-migration,0,0,0
2026-06-23T15:15:20-04:00,d259d2488b00e93aa861758504303143cd3b751a,docs: plan for infer-stack <-> kwdagger high-throughput integration,499,0,1
2026-06-23T15:16:35-04:00,dac259782b17d8b5409a084ef928e92ff3c415c4,journal: leasing-pipeline-lifecycle planning + implementation session,132,0,1
2026-06-23T15:40:55-04:00,ee34857c02fc14aa5de3797589e009509eab5f54,Messy state,952,36,19
2026-06-23T15:49:00-04:00,da930f4c840b3f83a05664e423e550fd0288d5f8,Remove old-schema config.yaml resurrected by a bad merge resolution,39,162,2
2026-06-23T15:51:05-04:00,de9919dbc8c5b4fa9a0caf5f8bf22a6aa2766343,"docs: drop I4/I5, add eval_audit-integration hand-off",212,28,2
2026-06-23T16:34:34-04:00,24991d17177dfcf7215176988278b78502e93f53,Wire per-run infer-stack GPU leasing into the HELM fan-out,960,18,11
2026-06-24T12:20:52-04:00,4158bea0282c7435861c5b2c81d0505e7e0ca066,Require containerized HELM execution; leasing as an orthogonal bracket,358,259,7
2026-06-24T12:21:00-04:00,c5ff9a35deb708183ccfecc163e82615cf1c4473,Containerize the e2e presets; drop the redundant -container scenario,72,129,5
2026-06-24T12:21:10-04:00,03dc08e5ddec9f2bd753bf44f8e15665250de90c,Lease + containerize by default across the OLMo and e2e grids; drop the toggles,312,292,9
2026-06-24T12:21:17-04:00,25811227b990f6c5f48197d9eddfe495d8493a87,docs: containerization mandatory + leasing default; session journal,332,105,4
2026-06-24T12:49:19-04:00,5317e14fee82b78ceef571a5e28fb365c5fe78ef,Update gitmodules and bump commit hashes,6,6,5
2026-06-24T13:09:06-04:00,ac444241d9aecd58bdb0a4015666be34a0725423,Merge branch 'main' into infer-stack-cli-api-migration,0,0,0
2026-06-24T14:05:28-04:00,31dda44ca8b18eb31cb59092e615c32b44a6a3de,infer_stack: make protocol_mode a required preset fact (no silent chat default),134,8,3
2026-06-24T15:59:06-04:00,2fd3fd6c2806d6e7e8c77558bd272b06daf0a008,e2e/olmo grids: pass --yes to the bootstrap 'release --evict',4,4,4
2026-06-24T15:59:07-04:00,94980dda38e55805cbe3984d775df88b7e3f97b4,journal: leasing CLI bringup notes (_load_catalog AttributeError fix),47,0,1
2026-06-24T16:00:18-04:00,d9f075db67c0422e59e519cf9631dde8fdb62f57,infer_stack: bump submodule to the _load_catalog catalog-field fix,1,1,1
2026-06-24T16:07:47-04:00,b2aff8fe511496818799732496ac53becaf433aa,infer_stack: bump submodule to the dev/lease-polish merge (995f45e),1,1,1
2026-06-25T08:44:34-04:00,fde72004d20282fe255bcf3e752e8902c0a46f21,infer_stack: bump submodule to the dev/lease-polish merge (0cde11d),1,1,1
2026-06-25T08:55:13-04:00,be2a72a6b82599493992672a4ae473ba60be4663,catalogs: declare protocol: completions for base-model endpoints,80,7,3
2026-06-25T09:24:21-04:00,23a204590b17d99df1136f1fdb80224e8e2e8f15,e2e: always force-rerun both grids; remove the E2E_FORCE_RERUN opt-out,21,19,2
2026-06-25T09:57:53-04:00,248c3b4baa68765dfb300050ac306cab4e312047,e2e: recap every scenario's report path at the end of 40_build_summary,26,0,1
2026-06-25T10:07:20-04:00,43d3c2b01cbaa5fe13635a1d38ca4defbe41ca32,"e2e: drop the broken ""start here"" README link from the summary recap",1,2,1
2026-06-25T10:59:41-04:00,212289e55b97f570c71578a1fd73be58d18840e9,docs(planning): bring the run-from-run-spec replay plan onto the impl branch,404,0,1
2026-06-25T10:59:41-04:00,1cd447783218b6c7a110d7a3b768d1d1f67a52ae,manifests: add from_run_spec + --precomputed-root to make-manifest,41,0,2
2026-06-25T10:59:41-04:00,622881b2dafcc4e6987299c4e5aa4c64def4d2b6,pipeline+bridge: route from_run_spec runs to the replay docker node,64,0,2
2026-06-25T10:59:41-04:00,f54d29c4f1b8bd91b4ed7681a9e7d1b0d4a22ee1,test+journal: from_run_spec pipeline wiring tests; session journal,284,0,2
2026-06-25T11:28:59-04:00,7ee5ecee19cf238dc2b6f49f92403761368f3a61,submodules: bump aiq-magnet gitlink to the from-spec replay CLI (4b10e1b),1,1,1
2026-06-25T11:30:28-04:00,d5180845be7b9b257c36a758335fa911d7709a35,submodules: bump infer_stack gitlink + track its working branch,2,2,2
2026-06-25T11:32:36-04:00,bd097610a153f701ba6b2c1ea89a0b58c6db4533,gitmodules: track aiq-magnet impl/run-from-run-spec branch,1,1,1
2026-06-25T11:51:44-04:00,5e1edb4b7d8733585a135a8a40f4fa9705521bfc,docs(planning): plan to migrate the phi-2 e2e to run_spec.json replay,237,0,1
2026-06-25T12:26:29-04:00,353e74b54adcfe06fee29dff0affc0a5cf57f0f9,docs(planning): correct the phi-2 e2e from-spec plan after a code review,59,27,1
2026-06-25T12:32:00-04:00,f18e503601cb620cb5c9468e66255368a7404102,e2e(from-spec): HF override + sibling from-spec manifests (Change 1),113,0,3
2026-06-25T12:36:02-04:00,1d90f4539e9de00c65aad1b4c98384e6a5e74b74,e2e(from-spec): teach export-benchmark-bundle the from-spec path (Change 2),78,2,2
2026-06-25T12:37:30-04:00,d81ca3cab2da904ea18c3cb3eaa53e46208c2ca8,"e2e(from-spec): gate the grid on E2E_FROM_SPEC, carve out incomparable (Change 3+4)",56,10,3
2026-06-25T12:41:08-04:00,2368fe9aea3f3f650ffdf8edc80d9bc2015dfd61,e2e(from-spec): tests for the phi-2 from-spec exporter + discovery (Change 6),223,0,1
2026-06-25T12:42:11-04:00,ea0141aef37503adb45b2bea2df02518c9d4f6c0,journal: session entry for the phi-2 e2e from-spec review + implementation,59,0,1
2026-06-25T12:49:58-04:00,daf6dfbb6c57497693be3647ea375e24a3be47f7,"e2e(from-spec): make faithful replay the default, drop the opt-out",81,136,8
2026-06-25T12:52:49-04:00,33a0606f28e77b4f00f082abfdae51fe6927f99b,docs(e2e): reflect from-spec-as-default (no toggle) in plan + README,84,47,2
2026-06-25T12:53:28-04:00,05d2932e43d26c0c6914b3a0c3721f7054114a0b,journal: from-spec becomes the e2e default (toggle removed),36,0,1
2026-06-25T14:37:29-04:00,e2543fb5d460aa5de090c53dc258f4e6313bcf8f,fix(e2e from-spec): override dropped phi-2's context window -> window-service crash,15,0,2
2026-06-25T14:51:56-04:00,05a704d32580f7025adb9459287dbf09b01be019,docs(planning): plan to record the local deployment on from-spec replays,262,0,1
2026-06-25T14:57:51-04:00,1a1199197f12a76667f094d12bf86a4fb9dbf4b6,docs(planning): lock in explicit --model-deployment (reject auto-derive),31,19,1
2026-06-25T15:24:18-04:00,f65997d34959e6e351036972345663adcb23c99a,"from-spec(deployment-rewrite): record the LOCAL deployment, unmask same_deployment",449,71,12
2026-06-25T15:24:29-04:00,b783a95c47fa780c484dc7499dc1e271d5c4fe18,docs(from-spec): mark deployment-rewrite implemented; amend superseded plans,165,17,7
2026-06-25T15:37:50-04:00,a4b5bac591680aacff5b5dd448172b0ee46077e9,docker(helm-runner): split helm/magnet install so magnet edits skip the heavy layer,27,6,1
2026-06-25T15:40:59-04:00,bad2755f4b766f13d59661932c4836f93531641c,gitignore: ignore docker/build.sh staging context (.build-staging/),3,0,1
2026-06-25T15:44:18-04:00,abc00b3c1c7d81a30e60740f82af60e91a10be3f,submodules: bump aiq-magnet gitlink to the --model-deployment rewrite (50489f0),1,1,1
2026-06-26T13:07:30-04:00,1eb52704a068bb41f0c87ac4daa41d4233f43a9f,docker(helm-runner): raise build-step nofile ulimit to survive uv bytecode compile,14,0,1
2026-06-29T08:16:39-04:00,8d96a471a4089888e3aeb87305caac581dbaa57d,e2e(infer-stack): resolve data_dir as env > settings.yaml pin > /data default,54,18,2
2026-06-29T09:41:53-04:00,0f09fe8737fd6122b282624622db51c2411e3b9b,submodules: bump every_eval_ever gitlink to tmp-branch (b1c5a0f0e),1,1,1
2026-06-29T09:51:59-04:00,150208259c6e5366f52e22e5c5e8daa51a61ac79,infer_stack: bump submodule to the dev/lease-polish catch-up merge (045536c),1,1,1
2026-06-29T12:48:49-04:00,b5c4cfeda8848f227786fdddca65537d25107075,fix(eee-convert): replay run prod_env so local deployment aliases resolve,45,0,1
2026-06-29T12:48:49-04:00,03b98e9ff3ad1808aec8e24ce8071f09df5a0a3c,feat(e2e): aiq-gpu rsync fetch utilities (17 + 42 + shared lib),292,1,4
2026-06-29T12:48:49-04:00,eb904ea7c23a18f61246ea8aacf313f24e757db1,docs(journal): session entries for aiq-gpu rsync utilities + eee-convert fix,141,0,1
2026-06-29T12:51:10-04:00,ecd1db15152e0b5b508b10d563e9b7c540e109e5,docs(e2e): add NOTES.md for the venv pin + from-spec conversion gotchas,54,0,2
2026-06-29T13:27:38-04:00,1b75bd0c9db55e9414844e878bfea313ecc854db,docs(planning): olmo from-run-spec migration plan,252,0,1
2026-06-29T13:41:04-04:00,5c31a05fa8850df9af27020f0b6cdace89dc0004,feat(olmo-from-spec): Change 4 discovery dry-check + measured baseline,347,30,3
2026-06-29T14:03:09-04:00,b2ebad72099cecbb39d010bf37538ef0d67339cb,feat(olmo-from-spec): Change 1 -- from-spec preset fields + run-entry reconciliation,180,79,6
2026-06-29T14:13:17-04:00,ab5bdc2e8c1e62a7069b92a6172aa9c46f60f2a5,docs(planning): handoff prompt to continue the olmo from-spec migration,143,0,1
2026-06-29T14:21:30-04:00,99bdc0eeae17f90fb176c0c5bd05c9144914b9ef,feat(olmo-from-spec): Change 3 -- wire --from-spec into the smoke/full grids,20,2,2
2026-06-29T14:21:42-04:00,037ba682c1211e4a6cae46f4bc786567b66dab5f,test(olmo-from-spec): Change 6 -- discovery dry-check + comparability proof,174,0,1
2026-06-29T14:23:42-04:00,1ad68a8bef5f7ebe9b9fe5c3ca08db44e71224b9,fix(olmo infer-stack): Change 7 -- resolve data_dir as env > settings.yaml pin > /data default,61,7,2
2026-06-29T14:30:17-04:00,90d95811cb7641a9f3d92d4106c961d7235bb06c,docs(olmo-from-spec): Change 8 -- README from-spec default + annotate NOTES as resolved,145,43,9
2026-06-29T14:32:46-04:00,91413bac68be78775d9c48e39690b2c51f21f28d,docs(olmo-from-spec): mark Changes 2/3/6/7/8 done; only Change 5 (GPU) remains,148,49,3
2026-06-29T15:24:39-04:00,5accb6cd1cc67e767362e3ebc0f9208b882a0016,fix(olmo container): install eval_audit in runner image so in-container helm-run loads the olmo-7b tokenizer override,71,1,2
2026-06-29T15:24:39-04:00,536b060795983830d20d5491f95b85911023a460,docs(journal): in-container olmo-7b tokenizer override (eval_audit missing from runner image),23,0,1
2026-06-29T16:36:54-04:00,2e1c40e3352a88ff5fba84766646f259d3041ed8,docs(planning): multi-model from-spec via local-deployment-scoped discovery strip,233,0,1
2026-06-30T09:25:36-04:00,ae14bc7738493154ffb5ce15ee43400b7feccbe0,"fix(container): deliver HF token via mounted cache, not env-forwarding",81,0,2
2026-06-30T09:25:44-04:00,ebcc5b7d37f492206d1a32ba4a660953827c823a,docs(container): correct HF-token delivery mechanism,49,14,6
2026-06-30T09:25:49-04:00,c763a6ea6dbeb4a7591aead04f8026b4ffb431c3,docs(journal): HF token on-disk delivery for containerized runs,24,0,1
2026-06-30T09:41:23-04:00,9ce64278f4420d0774a690d751b8cbd600a4f9eb,fix(olmo container): install crfm-helm[all] + pin huggingface_hub==0.36.2,25,10,3
2026-06-30T09:44:13-04:00,0fdc74576592fc8d7d4ef87faebcb4e45e6c1fe5,test(olmo smoke): preflight probes container python env (langdetect + hf_hub pin),57,5,2
2026-06-30T09:44:45-04:00,528d341a6810d95168424859e795d481656ccfba,docs(journal): container env fix (crfm-helm[all] + hf_hub pin) + smoke probe,25,0,1
2026-06-30T09:54:02-04:00,bf2b9767ed1ff1417cb4271b5752db32e6308713,test(olmo smoke): add wmt_14 + ifeval recipe canaries to smoke grids,23,3,2
2026-06-30T09:54:24-04:00,676746d0de27d68081694c47e191fd1f5c5b2831,docs(journal): wmt_14 + ifeval smoke canaries (from-spec-constrained selection),16,0,1
2026-06-30T10:07:37-04:00,99e27c51eb762da4e4cb19544ff7cfae3bbe1044,test(e2e): preflight probes container python env (langdetect + hf_hub pin),53,3,2
2026-06-30T10:07:56-04:00,3b32c1ebe3da2899540b7134256327c1f68c725a,"docs(journal): e2e container-env probe (no canary, per request)",14,0,1
2026-06-30T10:13:13-04:00,8d4224904f55fb30f0b570f63da715cce2ce027c,"docs(journal): resolve OLMo-canary question (kept; ""no canary"" was e2e-only)",1,1,1
2026-06-30T11:21:18-04:00,8dd861b5ce7ef338685b7ee99776b5efad1e71b4,"docs(planning): address reproductions by (public_root, relative_path)",369,0,1
2026-06-30T11:24:51-04:00,b7b115ccb146f0e373a42aa4823838bd117ffd74,"docs(planning): rel-path plan -- kwdagger cross-products, broadcast map mandatory",15,17,1
2026-06-30T11:34:29-04:00,e94d2c86ab265c46d13469af1766418a8034f93c,docs(planning): rel-path plan -- host-side resolution + kwdagger submatrix,284,300,1
2026-06-30T11:42:51-04:00,1d1097d096e28939a67765d6651bc5d13d944db9,docs(planning): rel-path plan -- materialize substituted copies host-side,135,92,1
2026-06-30T11:48:10-04:00,77f135747a5568e4a7accf1aa719ac1eabc53bff,test(kwdagger): pin the submatrix-zip contract the rel-path plan relies on,123,0,2
2026-06-30T11:53:43-04:00,515bddbd7d83df7dc02259cb36e057980c1410e4,feat(from-spec): host-side run_spec resolver + materializer (rel-path plan §4.1),452,0,2
2026-06-30T12:03:22-04:00,6305d294862d70653ebe7b07405805e33dad658c,feat(from-spec): wire exact-path replay through the bridge + docker node (§4.2-4.6),443,54,4
2026-06-30T12:09:04-04:00,22026464cc9e48ce5f2477579745733fa5e63733,test(from-spec): pin run_spec_json on the from-spec node algo_params,6,3,1
2026-06-30T12:09:04-04:00,337ac8d4f49e45691d722e26a4c4e8bbe28afb7d,feat(from-spec): make-manifest --run-spec-sources-fpath for exact-path replay (§4.5),157,4,2
2026-06-30T12:10:43-04:00,c8fe9b769a9e8db31e55851dd791eb9fc76ba5c7,docs(from-spec): mark rel-path plan partially implemented + journal entry,24,1,2
2026-06-30T12:36:00-04:00,bbbeaeb764b0d91a7d31a9878c20945a8ca5988c,fix(from-spec): gate materialized per-run lease_endpoint on --lease,25,3,2
2026-06-30T12:36:00-04:00,5f568bf58da6226815bfb83518af0468b4a658ab,feat(from-spec): exporter auto-freeze of rel-paths (rel-path plan §4.5),287,4,3
2026-06-30T12:37:55-04:00,a9a1a16b3eb06c4a98f3014a55eded393336d64d,feat(from-spec): dry-check existence mode for frozen manifests (rel-path plan §4.7),202,0,2
2026-06-30T12:38:55-04:00,249735d38f825f7f46be3a846123922f401893fe,docs(from-spec): mark rel-path plan host-side-complete + journal entry,24,10,2
2026-06-30T12:59:30-04:00,cea323f24b7fe45f8f6f5840bf194e5d6e5f6890,fix(from-spec): content-address the materialized run_spec filename (kwdagger identity),69,11,3
